City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,new norfolk,-42.7826,147.0587,9.95,90,100,3.94,AU,1691180741
1,udachny,66.4167,112.4,8.03,100,100,4.12,RU,1691180766
2,waitangi,-43.9535,-176.5597,7.12,85,98,2.24,NZ,1691180734
3,bredasdorp,-34.5322,20.0403,10.58,92,8,1.96,ZA,1691180727
4,castillos,-34.1667,-53.8333,13.95,62,35,2.19,UY,1691180767
5,sabzevar,36.2126,57.6819,29.78,20,0,4.71,IR,1691180738
6,nemuro,43.3236,145.575,14.01,97,100,7.11,JP,1691180767
7,adamstown,-25.066,-130.1015,18.62,55,100,5.19,PN,1691180735
8,suva,-18.1416,178.4415,19.71,94,100,4.12,FJ,1691180588
9,ambato boeny,-16.4667,46.7167,23.06,50,55,5.42,MG,1691180768
10,grytviken,-54.2811,-36.5092,-3.64,83,49,3.63,GS,1691180722
11,chibougamau,49.9168,-74.3659,15.79,88,100,4.12,CA,1691180722
12,invercargill,-46.4,168.35,1.68,98,100,1.34,NZ,1691180731
13,port mathurin,-19.6833,63.4167,23.21,72,5,11.09,MU,1691180769
14,rongelap,11.1635,166.8941,28.48,79,100,6.73,MH,1691180769
15,charlotte amalie,18.3419,-64.9307,30.82,84,0,5.14,VI,1691180769
16,bemidji,47.4736,-94.8803,28.36,47,0,3.6,US,1691180543
17,college,64.8569,-147.8028,23.45,62,75,0.0,US,1691180728
18,port-aux-francais,-49.35,70.2167,1.83,65,99,8.1,TF,1691180723
19,walvis bay,-22.9575,14.5053,11.72,87,0,0.0,NA,1691180748
20,tiksi,71.6872,128.8694,3.44,94,100,0.74,RU,1691180758
21,uliastay,47.7417,96.8444,12.9,79,100,2.18,MN,1691180770
22,papatowai,-46.5619,169.4708,3.27,85,98,2.26,NZ,1691180729
23,fisterra,42.9049,-9.2629,18.75,73,4,8.76,ES,1691180758
24,newman,37.3138,-121.0208,32.81,20,0,2.63,US,1691180771
25,vila franca do campo,37.7167,-25.4333,23.23,68,11,4.48,PT,1691180771
26,qaqortoq,60.7167,-46.0333,7.0,80,59,3.91,GL,1691180771
27,amursk,50.2261,136.8994,14.11,69,100,4.06,RU,1691180772
28,nagqu,31.5,92.0,6.42,91,100,4.41,CN,1691180752
29,puerto natales,-51.7236,-72.4875,4.22,73,57,8.07,CL,1691180722
30,lebu,-37.6167,-73.65,11.72,67,100,7.69,CL,1691180772
31,yellowknife,62.456,-114.3525,25.29,36,75,4.12,CA,1691180730
32,omdurman,15.6445,32.4777,34.22,38,16,4.5,SD,1691180773
33,namdrik,5.5994,168.1028,28.18,76,58,5.35,MH,1691180773
34,hasaki,35.7333,140.8333,27.39,88,0,5.94,JP,1691180730
35,iqaluit,63.7506,-68.5145,14.85,67,75,2.06,CA,1691180722
36,inirida,3.8653,-67.9239,28.41,83,75,1.58,CO,1691180774
37,concepcion,-36.827,-73.0498,15.89,48,0,4.12,CL,1691180774
38,bontang,0.1333,117.5,25.2,88,70,1.87,ID,1691180774
39,dokkum,53.3222,5.997,17.0,88,22,2.06,NL,1691180774
40,shimoda,34.6667,138.95,25.61,88,2,3.08,JP,1691180733
41,isafjordur,66.0755,-23.124,11.44,67,100,1.9,IS,1691180691
42,ilulissat,69.2167,-51.1,8.01,76,75,1.54,GL,1691180752
43,edinburgh of the seven seas,-37.0676,-12.3116,10.68,67,60,17.17,SH,1691180726
44,ushuaia,-54.8,-68.3,0.81,69,40,10.8,AR,1691180743
45,mount isa,-20.7333,139.5,19.87,49,100,2.57,AU,1691180736
46,longyearbyen,78.2186,15.6401,11.91,87,75,3.6,SJ,1691180776
47,ar rutbah,33.0381,40.2848,31.99,25,0,4.52,IQ,1691180776
48,pisco,-13.7,-76.2167,21.03,68,0,4.12,PE,1691180641
49,hamilton,39.1834,-84.5333,33.27,49,40,4.63,US,1691180189
50,flin flon,54.7682,-101.865,21.91,73,75,4.12,CA,1691180597
51,iskateley,67.6803,53.1512,21.37,68,72,3.35,RU,1691180478
52,ouadda,8.0777,22.4007,18.94,98,100,1.05,CF,1691180777
53,bethel,41.3712,-73.414,24.64,77,100,3.09,US,1691180727
54,east london,-33.0153,27.9116,21.36,41,77,2.14,ZA,1691180777
55,port moresby,-9.4431,147.1797,22.68,83,75,5.14,PG,1691180525
56,hithadhoo,-0.6,73.0833,27.46,74,100,2.94,MV,1691180778
57,albany,42.6001,-73.9662,24.41,55,49,4.04,US,1691180710
58,auki,-8.7676,160.7034,24.46,91,28,1.97,SB,1691180778
59,weno,7.4515,151.8468,26.79,81,100,1.61,FM,1691180779
60,thompson,55.7435,-97.8558,22.09,73,75,1.54,CA,1691180779
61,cadale,2.7603,46.3222,25.3,84,98,8.87,SO,1691180779
62,bilibino,68.0546,166.4372,7.2,93,100,3.22,RU,1691180748
63,jamestown,42.097,-79.2353,27.23,51,0,3.6,US,1691180687
64,kapa'a,22.0752,-159.319,30.18,74,40,6.17,US,1691180630
65,taoudenni,22.6783,-3.9836,43.58,10,6,3.04,ML,1691180742
66,guarapari,-20.6667,-40.4975,22.16,80,0,3.43,BR,1691180780
67,blackmans bay,-43.0167,147.3167,9.29,72,100,6.47,AU,1691180736
68,meadow lakes,61.6247,-149.6011,16.06,73,100,1.54,US,1691180781
69,khorixas,-20.3667,14.9667,18.93,26,0,0.87,NA,1691180781
70,talnakh,69.4865,88.3972,13.45,59,32,0.99,RU,1691180726
71,leua,48.2156,18.6071,18.91,89,53,2.92,SK,1691180781
72,turi,40.9173,17.0212,26.8,86,20,8.75,IT,1691180781
73,salalah,17.0151,54.0924,26.05,94,100,1.54,OM,1691180782
74,morehead city,34.7229,-76.726,28.0,83,75,6.17,US,1691180782
75,west island,-12.1568,96.8225,24.99,88,75,7.72,CC,1691180744
76,tazovsky,67.4667,78.7,14.4,68,6,2.31,RU,1691180782
77,lihue,21.9789,-159.3672,29.77,67,40,6.17,US,1691180782
78,nuuk,64.1835,-51.7216,6.34,100,100,7.72,GL,1691180626
79,tolanaro,-25.0319,46.9987,20.04,73,40,5.14,MG,1691180783
80,cockburn town,21.4612,-71.1419,29.29,75,8,6.47,TC,1691180519
81,kasongo-lunda,-6.4667,16.8167,24.86,26,41,0.76,CD,1691180783
82,margaret river,-33.95,115.0667,8.65,88,94,3.89,AU,1691180735
83,san antonio de pale,-1.4014,5.6325,22.63,79,21,3.94,GQ,1691180745
84,vadso,70.0744,29.7487,19.49,94,75,3.6,NO,1691180758
85,sarmiento,-45.5882,-69.07,9.75,49,17,9.87,AR,1691180784
86,dame-marie,18.5667,-74.4167,29.36,72,46,1.65,HT,1691180785
87,esuk oron,4.8029,8.2534,23.78,90,64,2.02,NG,1691180785
88,port lincoln,-34.7333,135.8667,11.54,64,100,3.84,AU,1691180785
89,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,88,20,2.0,RU,1691180562
90,atafu village,-8.5421,-172.5159,28.35,72,71,5.3,TK,1691180745
91,georgetown,5.4112,100.3354,28.96,90,20,1.54,MY,1691180739
92,avarua,-21.2078,-159.775,24.03,78,100,2.06,CK,1691180630
93,novoishimskiy,53.1981,66.7694,21.28,64,97,2.56,KZ,1691180786
94,zouerate,22.7187,-12.4521,36.92,12,5,7.52,MR,1691180786
95,zaozersk,69.4005,32.4476,17.31,94,100,3.33,RU,1691180787
96,gillette,44.2911,-105.5022,21.51,64,20,0.0,US,1691180694
97,pandan,14.0453,124.1694,26.96,85,100,4.85,PH,1691180787
98,tommot,58.9564,126.2925,10.35,86,9,1.45,RU,1691180787
99,sola,-13.8833,167.55,22.46,89,100,1.89,VU,1691180787
100,enewetak,11.3474,162.3373,28.35,78,91,5.42,MH,1691180788
101,keflavik,64.0049,-22.5624,12.24,76,100,2.57,IS,1691180788
102,turpan,42.9333,89.1667,36.77,14,87,2.22,CN,1691180788
103,lahad datu,5.0268,118.327,25.16,89,5,1.38,MY,1691180788
104,ardakan,32.31,54.0175,31.23,11,0,1.5,IR,1691180788
